"No options of this product are available.","No options of this product are available."
"Choose an Option...","Choose an Option..."
Configure,Configure
Select,Select
"Each N-th","Each N-th"
"Number Of Gift Items","Number Of Gift Items"
"Discount Amount","Discount Amount"
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
Information,Information
General,General
"Add Simple/Virtual/Downloadable/Bundle Products Automatically, Without Confirmation","Add Simple/Virtual/Downloadable/Bundle Products Automatically, Without Confirmation"
"Products will be added automatically only if there are no options to specify","Products will be added automatically only if there are no options to specify"
"Auto Add Free Items Based on Cart Amount","Auto Add Free Items Based on Cart Amount"
"Applicable only for Every X Spent Free Gift Rules","Applicable only for Every X Spent Free Gift Rules"
"Include Tax in Subtotal","Include Tax in Subtotal"
"Messages and Notifications Settings","Messages and Notifications Settings"
"Gifts Selection Method","Gifts Selection Method"
"Popup Header Text","Popup Header Text"
"""Add to Cart"" Button Text","""Add to Cart"" Button Text"
"Message for the Free Item in the Cart","Message for the Free Item in the Cart"
"Represent Free Gift as","Represent Free Gift as"
"Prefix for the Free Item Name in The Order","Prefix for the Free Item Name in The Order"
"Add Free Gift Message","Add Free Gift Message"
"Open Popup Automatically","Open Popup Automatically"
"Always open free gift popup on cart page if any free gift is available","Always open free gift popup on cart page if any free gift is available"
"Show Original Price in the Popup","Show Original Price in the Popup"
"Display Error Messages","Display Error Messages"
"Display Success Messages","Display Success Messages"
"Display Remaining Gifts Counter","Display Remaining Gifts Counter"
"Reminder about Available Promos","Reminder about Available Promos"
"Notification Message","Notification Message"
Limitations,Limitations
"Do not Offer Promos for Products with Special Price","Do not Offer Promos for Products with Special Price"
"Do not Offer Promos for Configurable Products when Child has Special Price","Do not Offer Promos for Configurable Products when Child has Special Price"
"Gift Images","Gift Images"
"Gift Image Width (px)","Gift Image Width (px)"
"Gift Image Height (px)","Gift Image Height (px)"
"Product Attribute for Header","Product Attribute for Header"
"Product Attribute for Description","Product Attribute for Description"
"Select Free Gift Products","Select Free Gift Products"
"Add Selected Free Gift(s) to Order","Add Selected Free Gift(s) to Order"
"Configure Product","Configure Product"
OK,OK
"Add New Gift","Add New Gift"
"All Store Views","All Store Views"
"Store View","Store View"
ID,ID
Product,Product
SKU,SKU
"Original Price","Original Price"
"Promo Price","Promo Price"
Quantity,Quantity
"Items Left","Items Left"
"The setting regulates the collection of tax when
                        Free Gifts are being represented as a product with $0 price.
                        Other settings for tax calculated on Free Gifts are ignored.
                    ","The setting regulates the collection of tax when
                        Free Gifts are being represented as a product with $0 price.
                        Other settings for tax calculated on Free Gifts are ignored.
                    "
"Apply tax on original price of promo items added for free","Apply tax on original price of promo items added for free"
"Apply shipping on promo items added for free","Apply shipping on promo items added for free"
"Promo Items","Promo Items"
"Comma separated list of the SKUs","Comma separated list of the SKUs"
Type,Type
"All SKUs below","All SKUs below"
"One of the SKUs below","One of the SKUs below"
"Promo Items With Discount","Promo Items With Discount"
"Promo Items Discount","Promo Items Discount"
"Set fixed price (e.g. 20), fixed discount (e.g. -20) or a percent discount (e.g. 50%). Leave empty if you want to add product for free.","Set fixed price (e.g. 20), fixed discount (e.g. -20) or a percent discount (e.g. 50%). Leave empty if you want to add product for free."
"Minimal Price","Minimal Price"
"Show Gift images","Show Gift images"
