"Pay with Credit Card Installment has been failure and <span style=""color: #ff5501;"">&quot;Order is Canceled&quot;</span>.","ชำระด้วยผ่อนชำระผ่านบัตรเครดิต การชำระเงิน ไม่สมบูรณ์ <span style=""color: #ff5501;"">&quot;กรุณาชำระเงินทำการชำระเงินใหม่อีกครั้ง&quot;</span>.", module, GBPrimePay_Payments
"GBPrimePay QR Code Successful!","ชำระด้วยคิวอาร์โค้ด การชำระเงินสำเร็จ!", module, GBPrimePay_Payments
"Pay with QR Code has been received and &quot;Order is Now Complete&quot;.","ชำระด้วยคิวอาร์โค้ดได้รับการชำระเงินแล้ว &quot;คำสั่งซื้อเสร็จสมบูรณ์&quot;.", module, GBPrimePay_Payments
"GBPrimePay QR Visa Successful!","ชำระด้วยคิวอาร์วีซ่า การชำระเงินสำเร็จ!", module, GBPrimePay_Payments
"Pay with QR Visa has been received and &quot;Order is Now Complete&quot;.","ชำระด้วยคิวอาร์วีซ่าได้รับการชำระเงินแล้ว &quot;คำสั่งซื้อเสร็จสมบูรณ์&quot;.", module, GBPrimePay_Payments
"GBPrimePay QR Wechat Successful!","ชำระด้วยคิวอาร์วีแชต การชำระเงินสำเร็จ!", module, GBPrimePay_Payments
"Pay with QR Wechat has been received and &quot;Order is Now Complete&quot;.","ชำระด้วยคิวอาร์วีแชตได้รับการชำระเงินแล้ว &quot;คำสั่งซื้อเสร็จสมบูรณ์&quot;.", module, GBPrimePay_Payments
"GBPrimePay Bill Payment Successful!","ชำระด้วยใบเแจ้งยอดชำระเงิน การชำระเงินสำเร็จ!", module, GBPrimePay_Payments
"Pay with Bill Payment has been received and &quot;Order is Now Complete&quot;.","ชำระด้วยใบเแจ้งยอดชำระเงินได้รับการชำระเงินแล้ว &quot;คำสั่งซื้อเสร็จสมบูรณ์&quot;.", module, GBPrimePay_Payments 
"GBPgetDesQrcode","ชำระเงินผ่าน Mobile Banking ด้วย QR Code จาก GB Pay สะดวกสบายและปลอดภัยตามมาตรฐานความปลอดภัย PCI DSS 3.2.1", module, GBPrimePay_Payments
"Name On Card","ชื่อผู้ถือบัตร",module, GBPrimePay_Payments
"GBPayment Method","วิธีการชำระเงิน",module, GBPrimePay_Payments
